Date,Details,Debit,Credit,Balance
08/02/2016,05FEB JAM CARVERY,18.9, ,385.68
08/02/2016,05FEB POUNDLAND,14.05, ,
08/02/2016,05FEB ASDA STORES,39.91, ,
08/02/2016,07FEB WWW.GOURMETCHO,16.45, ,
08/02/2016,05FEB INGRAMS SPAR,7.91, ,
08/02/2016,05FEB ASDA PETROL 58,20.11, ,
08/02/2016,09FEB ATM WITHDRAWAL,20.0, ,
08/02/2016,07FEB ATM WITHDRAWAL,10.0, ,
05/02/2016,POS03FEB POWER NI ENE,20.0, ,533.01
05/02/2016,POSC03FEB INGRAMS SPA,5.84, ,
05/02/2016,R MASTERSON, ,246.87,
03/02/2016,POS01FEB COURTNEYS GA,20.03, ,311.98
03/02/2016,POSC02FEB MCCABES CEN,18.26, ,
03/02/2016,PAYPAL PAYMENT     DD,25.86, ,
02/02/2016,LINK 01FEB IR0268,20.0,,376.13
02/02/2016,POSC31JAN MCCABES CEN,3.99, ,
01/02/2016,POS29JAN LIDL 0991 LI,33.58, ,400.12
01/02/2016,POS30JAN F DOWLER LTD,40.95, ,
01/02/2016,POS30JAN NEWTOWNBUTLE,150.0, ,
01/02/2016,DVLA-LIG7533       DD,25.37, ,
29/01/2016,ATMD 29JAN RA  RA5160,10.0, ,650.02
29/01/2016,O2                 DD,28.32, ,
29/01/2016,PAYPAL PAYMENT     DD,3.99, ,
29/01/2016,R MASTERSON, ,230.71,
28/01/2016,ATMD 27JAN RA  RA5160,10.0, ,461.62
27/01/2016,POS25JAN POWER NI ENE,20.0, ,471.62
25/01/2016,LINK 23JAN E00743,20.0, ,491.62
25/01/2016,ATMD 23JAN BOI 905053,40.0, ,
25/01/2016,ATMD 25JAN BOI 905053,20.0, ,
